,Folio,Ini_Date,End_Date,Op_Type,Comment,Comment Val,Units,Spot,TP,SL,Close_P,Close_Reason,Status,Margin
1343,Folio,2017-06-02 18:10,2017-06-02 18:25:00+00:00,Sell,STO,93,1000,18.69167,18.678669999999997,18.698169999999998,18.7023,SL,Closed,-0.010630000000002582
1342,Folio,2017-06-02 18:15,2017-06-02 18:25:00+00:00,Sell,STO,93,1000,18.68562,18.67262,18.69212,18.7023,SL,Closed,-0.016680000000000916
1341,Folio,2017-06-02 18:20,2017-06-02 18:25:00+00:00,Sell,STO,90,1000,18.68816,18.67616,18.69416,18.7023,SL,Closed,-0.014140000000001152
1340,Folio,2017-06-02 18:25,2017-06-02 18:35:00+00:00,Sell,STO,85,1000,18.7023,18.6903,18.7083,18.72193,SL,Closed,-0.01962999999999937
1339,Folio,2017-06-02 18:30,2017-06-02 18:35:00+00:00,Sell,STO,88,1000,18.70196,18.688959999999998,18.70846,18.72193,SL,Closed,-0.01997000000000071
1338,Folio,2017-06-02 18:35,2017-06-02 19:05:00+00:00,Sell,STO,85,1000,18.72193,18.70993,18.72793,18.73326,SL,Closed,-0.01133000000000095
1337,Folio,2017-06-02 18:40,2017-06-02 19:05:00+00:00,Sell,RSI,65,1000,18.72711,18.71511,18.73311,18.73326,SL,Closed,-0.006150000000001654
1336,Folio,2017-06-02 18:45,2017-06-02 18:55:00+00:00,Sell,STO,89,1000,18.7176,18.7046,18.7241,18.72669,SL,Closed,-0.009090000000000487
1335,Folio,2017-06-02 18:50,2017-06-02 19:05:00+00:00,Sell,STO,94,1000,18.72344,18.71044,18.72994,18.73326,SL,Closed,-0.009820000000001272
1334,Folio,2017-06-02 18:55,2017-06-02 19:05:00+00:00,Sell,RSI,67,1000,18.72669,18.71369,18.73319,18.73326,SL,Closed,-0.006569999999999965
1333,Folio,2017-06-02 19:00,2017-06-02 20:00:00+00:00,Sell,STO,91,1000,18.7269,18.7129,18.733900000000002,18.70906,TP,Closed,0.017839999999999634
1332,Folio,2017-06-02 19:05,2017-06-02 19:30:00+00:00,Sell,STO,93,1000,18.73326,18.72126,18.73926,18.71738,TP,Closed,0.01588000000000278
1331,Folio,2017-06-02 19:10,2017-06-02 19:15:00+00:00,Sell,STO,88,1000,18.72316,18.71016,18.72966,18.73035,SL,Closed,-0.007190000000001362
1330,Folio,2017-06-02 19:15,2017-06-02 19:30:00+00:00,Sell,STO,92,1000,18.73035,18.71835,18.73635,18.71738,TP,Closed,0.012970000000002813
1329,Folio,2017-06-02 19:20,2017-06-02 20:00:00+00:00,Sell,STO,91,1000,18.72438,18.71138,18.73088,18.70906,TP,Closed,0.015319999999999112
1328,Folio,2017-06-02 19:25,2017-06-02 20:00:00+00:00,Sell,STO,86,1000,18.725,18.712,18.7315,18.70906,TP,Closed,0.01594000000000051
1327,Folio,2017-06-02 19:35,2017-06-02 20:00:00+00:00,Sell,STO,86,1000,18.72408,18.71208,18.73008,18.70906,TP,Closed,0.015019999999999811
1326,Folio,2017-06-02 19:45,2017-06-02 20:00:00+00:00,Sell,STO,85,1000,18.7233,18.710299999999997,18.729799999999997,18.70906,TP,Closed,0.014239999999997366
1325,Folio,2017-06-02 19:50,2017-06-02 20:00:00+00:00,Sell,STO,89,1000,18.7261,18.713099999999997,18.732599999999998,18.70906,TP,Closed,0.017039999999997946
1324,Folio,2017-06-02 19:55,2017-06-02 20:00:00+00:00,Sell,STO,89,1000,18.7273,18.7133,18.7343,18.70906,TP,Closed,0.0182399999999987
1323,Folio,2017-06-04 23:15,2017-06-05 00:25:00+00:00,Sell,STO,91,1000,18.7303,18.717299999999998,18.7368,18.73858,SL,Closed,-0.008279999999999177
1322,Folio,2017-06-04 23:20,2017-06-05 00:25:00+00:00,Sell,STO,93,1000,18.73081,18.71881,18.736810000000002,18.73858,SL,Closed,-0.007769999999997168
